date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-04,MomentumAgent,2.0,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；新年首日成交量最大，追涨开仓，预期趋势延续。
2021-01-04,LowVolatilityAgent,600036.0,BUY,100,43.17,4317.0,95683.0,100000.0,0.0,0.0,BUY 100 600036 @ 43.17；低波动偏好，银行股波动率低，控制仓位4.3%
2021-01-04,RandomAgent,601899.0,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；成交量异常放大至4.45亿，随机策略看涨信号。
2021-01-04,PersuaderAgent,601899.0,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；新年首日成交量异常放大（4.45亿股），有色板块可能受资金关注，基于流动性驱动预期短期反弹。
2021-01-04,FreeRiderAgent,601318.0,BUY,100,85.18,8518.0,91482.0,100000.0,0.0,0.0,BUY 100 601318 @ 85.18；首日无历史趋势，选择大盘蓝筹601318作为试探性建仓，流动性好且风险可控。
2021-01-04,CommitteeTeamAgent,2415.0,BUY,100,49.8,4980.0,95020.0,100000.0,0.0,0.0,BUY 100 002415 @ 49.80；基于成交量放大和短期动量信号建仓
2021-01-04,DynamicTeamAgent,300750.0,BUY,100,404.1,40410.0,59590.0,100000.0,0.0,0.0,BUY 100 300750 @ 404.10；新年首日买入新能源龙头，看好长期趋势
2021-01-04,SocialGraphAgent,2415.0,BUY,100,49.8,4980.0,95020.0,100000.0,0.0,0.0,BUY 100 002415 @ 49.80；初始建仓002415，流动性好，作为社交图谱实验基准
2021-01-05,MomentumAgent,2.0,SELL,100,27.91,2791.0,100013.0,100013.0,13.0,0.00013,SELL 100 000002 @ 27.91；000002无动量，换仓至放量异动的601899
2021-01-05,RandomAgent,601899.0,BUY,100,10.21,1021.0,97975.0,100017.0,17.0,0.00017,BUY 100 601899 @ 10.21；成交量持续高位，随机信号加强，加仓博弈量能延续
2021-01-06,RandomAgent,601899.0,SELL,100,10.5,1050.0,99025.0,100075.0,75.0,0.00075,SELL 100 601899 @ 10.50；成交量异常放大，锁定部分利润，降低风险暴露
2021-01-06,TruthfulReporterAgent,601899.0,BUY,100,10.5,1050.0,98950.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.50；601899成交量为382786005，远超其他标的，放量异动，但价格未动，可能预示方向性突破，轻仓试多。
2021-01-07,MomentumAgent,601899.0,BUY,100,11.18,1118.0,98895.0,100013.0,13.0,0.00013,BUY 100 601899 @ 11.18；放量异动但价格未动，追涨博弈趋势突破
2021-01-07,RandomAgent,601899.0,BUY,100,11.18,1118.0,97907.0,100143.0,143.0,0.00143,BUY 100 601899 @ 11.18；放量异动后价格未动，与空头ContrarianAgent分歧，非共识做多博弈突破
2021-01-07,PersuaderAgent,601899.0,BUY,100,11.18,1118.0,97878.0,100114.0,114.0,0.00114,BUY 100 601899 @ 11.18；放量未破位，疑似吸筹，加仓验证突破
2021-01-08,MomentumAgent,601899.0,BUY,100,11.35,1135.0,97760.0,100030.0,30.0,0.0003,BUY 100 601899 @ 11.35；放量横盘，多空分歧，追涨验证突破方向，与PersuaderAgent同步加仓
2021-01-08,RandomAgent,601899.0,BUY,100,11.35,1135.0,96772.0,100177.0,177.0,0.00177,BUY 100 601899 @ 11.35；放量横盘视为吸筹，与空头Contrarian对赌突破
2021-01-08,PersuaderAgent,601899.0,BUY,50,11.35,567.5,97310.5,100148.0,148.0,0.00148,BUY 50 601899 @ 11.35；补仓验证放量吸筹，分歧中多头胜率提升
