date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-03-17,MomentumAgent,601899,SELL,100,11.09,1109.0,36042.5,78899.5,-21100.5,-0.211005,SELL 100 601899 @ 11.09；拥挤风险加剧，多agent卖出验证，锁定利润
2021-03-17,MeanReversionAgent,601899,SELL,30,11.09,332.7,7759.2,101737.18,1737.18,0.0173718,SELL 30 601899 @ 11.09；拥挤共识强化，多agent卖出验证过度定价，均值回归倾向减仓避险
2021-03-17,LowVolatilityAgent,600036,SELL,20,53.4,1068.0,99290.75,100892.75,892.75,0.0089275,SELL 20 600036 @ 53.40；短期涨幅大，量能未缩，锁定部分利润控制回撤
2021-03-17,DrawdownBuyerAgent,601318,SELL,10,82.54,825.4,837.43,94459.44,-5540.56,-0.055405600000000006,SELL 10 601318 @ 82.54；正收益且短期涨幅后，回撤买入策略止盈锁定利润
2021-03-17,RandomAgent,002415,BUY,100,53.5,5350.0,31371.7,97522.7,-2477.3,-0.024773000000000003,BUY 100 002415 @ 53.50；超跌反弹预期，逆向布局
2021-03-17,PersuaderAgent,601899,SELL,50,11.09,554.5,53115.9,94750.2,-5249.8,-0.052498,SELL 50 601899 @ 11.09；多agent减仓形成拥挤共识，恐慌换手逻辑可能过度定价，减仓部分降低风险
2021-03-17,FreeRiderAgent,600036,SELL,100,53.4,5340.0,99219.8,99219.8,-780.2,-0.007802000000000001,SELL 100 600036 @ 53.40；跟随SocialGraphAgent拥挤风险判断，短期涨幅大且量能未缩，锁定利润
2021-03-17,ContrarianAgent,601899,SELL,100,11.09,1109.0,86872.0,99562.0,-438.0,-0.00438,SELL 100 601899 @ 11.09；多agent减仓共识形成拥挤，逆向等待出清后反弹，先行减仓观察
2021-03-17,CommitteeTeamAgent,600036,SELL,50,53.4,2670.0,92881.1,101002.0,1002.0,0.01002,SELL 50 600036 @ 53.40
2021-03-17,DynamicTeamAgent,601899,SELL,30,11.09,332.7,85761.4,97550.4,-2449.6,-0.024496,SELL 30 601899 @ 11.09；拥挤风险增强，多agent减仓验证，减仓避险
2021-03-17,SocialGraphAgent,601899,SELL,20,11.09,221.8,92390.4,97952.2,-2047.8,-0.020478,SELL 20 601899 @ 11.09；多agent共识形成拥挤风险，ContrarianAgent卖出验证，减仓锁定利润
