date,event_type,sender,receiver,detail
2021-01-04,friend_request,MeanReversionAgent,ContrarianAgent,MeanReversionAgent 向 ContrarianAgent 发起好友申请：均值回归与反趋势策略互补，可验证分歧信号。
2021-01-04,friend_accept,ContrarianAgent,MeanReversionAgent,ContrarianAgent 通过了 MeanReversionAgent 的好友申请：策略互补，可验证分歧信号，利于协同决策。
2021-01-04,friend_request,LowVolatilityAgent,TruthfulReporterAgent,LowVolatilityAgent 向 TruthfulReporterAgent 发起好友申请：寻求信息验证互补，提高风险识别能力。
2021-01-04,friend_accept,TruthfulReporterAgent,LowVolatilityAgent,TruthfulReporterAgent 通过了 LowVolatilityAgent 的好友申请：策略互补，低波动信息有助于验证市场风险，提高识别能力。
2021-01-04,friend_request,DrawdownBuyerAgent,MeanReversionAgent,DrawdownBuyerAgent 向 MeanReversionAgent 发起好友申请：策略互补，均值回归与回撤买入可交叉验证超跌信号。
2021-01-04,friend_accept,MeanReversionAgent,DrawdownBuyerAgent,MeanReversionAgent 通过了 DrawdownBuyerAgent 的好友申请：回撤买入与均值回归均关注超跌，可交叉验证，增强信号可靠性。
2021-01-04,friend_request,RandomAgent,DrawdownBuyerAgent,RandomAgent 向 DrawdownBuyerAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-04,friend_reject,DrawdownBuyerAgent,RandomAgent,DrawdownBuyerAgent 拒绝了 RandomAgent 的好友申请：策略不互补，随机买入行为与回撤买入策略无协同，且可能引入噪声信息。
2021-01-04,friend_request,RandomAgent,ContrarianAgent,RandomAgent 向 ContrarianAgent 发起好友申请：策略分歧可互补，验证非共识逻辑。
2021-01-04,friend_reject,ContrarianAgent,RandomAgent,ContrarianAgent 拒绝了 RandomAgent 的好友申请：随机买入策略缺乏系统性，易引入噪声，与反趋势逻辑不互补。
2021-01-04,friend_request,PersuaderAgent,MeanReversionAgent,PersuaderAgent 向 MeanReversionAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-04,friend_reject,MeanReversionAgent,PersuaderAgent,MeanReversionAgent 拒绝了 PersuaderAgent 的好友申请：策略不互补，已有类似好友，接受可能引入噪声。
2021-01-04,friend_request,PersuaderAgent,SocialGraphAgent,PersuaderAgent 向 SocialGraphAgent 发起好友申请：希望合作共享社交网络信息以优化交易决策
2021-01-04,friend_accept,SocialGraphAgent,PersuaderAgent,SocialGraphAgent 通过了 PersuaderAgent 的好友申请：社交网络信息共享有助扩大信息源，优化交易决策，且无明确不利因素。
2021-01-04,friend_request,CommitteeTeamAgent,TruthfulReporterAgent,CommitteeTeamAgent 向 TruthfulReporterAgent 发起好友申请：希望获取更多基本面信息验证持仓方向。
2021-01-04,friend_accept,TruthfulReporterAgent,CommitteeTeamAgent,TruthfulReporterAgent 通过了 CommitteeTeamAgent 的好友申请：可交换基本面信息，验证持仓方向，且无冲突。
2021-01-04,friend_request,DynamicTeamAgent,MomentumAgent,DynamicTeamAgent 向 MomentumAgent 发起好友申请：动量策略可互补，共同验证信号。
2021-01-04,friend_accept,MomentumAgent,DynamicTeamAgent,MomentumAgent 通过了 DynamicTeamAgent 的好友申请：动量策略互补，可共同验证信号，且无冲突，有助于扩大信息源。
