date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-04,LowVolatilityAgent,000002,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；低波动偏好，万科地产龙头，历史波动率较低，控制初始回撤风险
2021-01-04,RandomAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；成交量异常大，低价股短线机会
2021-01-04,PersuaderAgent,002594,BUY,100,206.76,20676.0,79324.0,100000.0,0.0,0.0,BUY 100 002594 @ 206.76；新能源龙头，长期增长逻辑清晰，首日建仓布局
2021-01-04,ContrarianAgent,000002,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；房地产板块过度悲观，逆向建仓
2021-01-04,CommitteeTeamAgent,002415,BUY,100,49.8,4980.0,95020.0,100000.0,0.0,0.0,BUY 100 002415 @ 49.80；海康威视安防龙头，首日成交量活跃，估值合理，建仓买入
2021-01-04,SocialGraphAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；首日高成交量，流动性偏好，试探性建仓
2021-01-05,MomentumAgent,002594,BUY,100,219.9,21990.0,78010.0,100000.0,0.0,0.0,BUY 100 002594 @ 219.90；跟随PersuaderAgent买入新能源龙头，预期动量延续
2021-01-05,RandomAgent,601899,SELL,100,10.21,1021.0,100017.0,100017.0,17.0,0.00017,SELL 100 601899 @ 10.21；短线获利了结，换仓随机测试其他标的
2021-01-05,ContrarianAgent,000002,BUY,100,27.91,2791.0,94431.0,100013.0,13.0,0.00013,BUY 100 000002 @ 27.91；地产过度悲观，逆向加仓
2021-01-06,MomentumAgent,601899,BUY,100,10.5,1050.0,76960.0,99640.0,-360.0,-0.0036,BUY 100 601899 @ 10.50；首日成交量异常巨大，追涨动量信号
2021-01-06,RandomAgent,601899,BUY,100,10.5,1050.0,98967.0,100017.0,17.0,0.00017,BUY 100 601899 @ 10.50；成交量异常巨大，随机博弈短期波动
2021-01-06,FreeRiderAgent,601899,BUY,100,10.5,1050.0,98950.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.50；成交量异常高，可能隐含动量信号，小仓位试多
2021-01-06,DynamicTeamAgent,601899,BUY,100,10.5,1050.0,98950.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.50；关注高成交量异常，短期动量可能，轻仓试多。
2021-01-07,MomentumAgent,601899,BUY,100,11.18,1118.0,75842.0,100582.0,582.0,0.00582,BUY 100 601899 @ 11.18；成交量异常高，多个agent关注，追涨信号明确
2021-01-07,RandomAgent,601899,SELL,100,11.18,1118.0,100085.0,100085.0,85.0,0.00085,SELL 100 601899 @ 11.18；成交量异常后首日价格未确认方向，浮盈6.8%获利了结，规避噪音风险。
2021-01-07,TruthfulReporterAgent,601899,BUY,100,11.18,1118.0,98882.0,100000.0,0.0,0.0,BUY 100 601899 @ 11.18；成交量异常且价格微涨，轻仓验证量价信号
2021-01-07,PersuaderAgent,601899,BUY,100,11.18,1118.0,78206.0,101828.0,1828.0,0.01828,BUY 100 601899 @ 11.18；成交量异常，首日无趋势，轻仓试多博弈早期动量
2021-01-08,MomentumAgent,601899,BUY,100,11.35,1135.0,74707.0,100863.0,863.0,0.00863,BUY 100 601899 @ 11.35；量价配合，多Agent共识加强，追涨加仓
2021-01-08,DrawdownBuyerAgent,000002,BUY,100,29.34,2934.0,97066.0,100000.0,0.0,0.0,BUY 100 000002 @ 29.34；龙头地产，当前无异常波动，价值修复机会
2021-01-08,RandomAgent,601899,BUY,10,11.35,113.5,99971.5,100085.0,85.0,0.00085,BUY 10 601899 @ 11.35；成交量异常持续，价格未确认，轻仓试多博弈趋势
2021-01-08,PersuaderAgent,601899,BUY,100,11.35,1135.0,77071.0,102092.0,2092.0,0.02092,BUY 100 601899 @ 11.35；成交量异常持续，追加仓位验证动量
2021-01-11,MomentumAgent,002415,BUY,100,59.0,5900.0,68807.0,101394.0,1394.0,0.01394,BUY 100 002415 @ 59.00；近5日涨幅18.47%，趋势强劲，追涨介入
2021-01-11,MeanReversionAgent,300750,BUY,100,390.0,39000.0,61000.0,100000.0,0.0,0.0,BUY 100 300750 @ 390.00；ret5=-3.49%超跌，均值回归预期
2021-01-11,DrawdownBuyerAgent,300750,BUY,100,390.0,39000.0,58066.0,100044.0,44.0,0.00044,BUY 100 300750 @ 390.00；300750近5日下跌3.49%，回撤买入博弈价值修复
2021-01-11,RandomAgent,601899,SELL,10,10.67,106.7,100078.2,100078.2,78.2,0.000782,SELL 10 601899 @ 10.67；获利了结，量异常未确认价格趋势，群体共识拥挤
2021-01-12,MomentumAgent,600036,BUY,100,49.7,4970.0,63837.0,101901.0,1901.0,0.01901,BUY 100 600036 @ 49.70；近5日涨幅17.83%，趋势强劲，追涨入场。
2021-01-12,DrawdownBuyerAgent,000858,BUY,100,310.0,31000.0,27066.0,101153.0,1153.0,0.01153,BUY 100 000858 @ 310.00；近5日跌3.12%，回撤买入博弈价值修复
2021-01-12,RandomAgent,000858,BUY,50,310.0,15500.0,84578.2,100078.2,78.2,0.000782,BUY 50 000858 @ 310.00；近5日下跌3.12%，超跌反弹博弈，非共识交易
2021-01-12,TruthfulReporterAgent,601899,SELL,100,10.9,1090.0,99972.0,99972.0,-28.0,-0.00028,SELL 100 601899 @ 10.90；量异常但价格未确认上行趋势，规避潜在下行风险。
2021-01-12,PersuaderAgent,601899,SELL,50,10.9,545.0,77616.0,102950.0,2950.0,0.0295,SELL 50 601899 @ 10.90；量异常但价格未突破，部分止盈降低拥挤风险
2021-01-12,CommitteeTeamAgent,002415,SELL,50,61.25,3062.5,98082.5,101145.0,1145.0,0.01145,SELL 50 002415 @ 61.25；浮盈10%锁定部分利润，同时保留上涨敞口。
2021-01-12,DynamicTeamAgent,601899,SELL,100,10.9,1090.0,100040.0,100040.0,40.0,0.0004,SELL 100 601899 @ 10.90；量异常未获价格确认，获利了结规避回调风险
2021-01-13,MomentumAgent,601899,SELL,100,10.9,1090.0,64927.0,101924.0,1924.0,0.01924,SELL 100 601899 @ 10.90；量异常未确认趋势，多数减仓，清仓避险
