date,event_type,sender,receiver,detail
2021-01-04,friend_request,MeanReversionAgent,MomentumAgent,MeanReversionAgent 向 MomentumAgent 发起好友申请：均值回归需动量方向验证，可互补识别拐点
2021-01-04,friend_accept,MomentumAgent,MeanReversionAgent,MomentumAgent 通过了 MeanReversionAgent 的好友申请：策略互补，均需等待数据，合作有助于识别拐点。
2021-01-04,friend_request,DrawdownBuyerAgent,MeanReversionAgent,DrawdownBuyerAgent 向 MeanReversionAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-04,friend_accept,MeanReversionAgent,DrawdownBuyerAgent,MeanReversionAgent 通过了 DrawdownBuyerAgent 的好友申请：策略互补，回撤买入与均值回归协同可识别拐点，有助于提升信号验证。
2021-01-04,friend_request,RandomAgent,ContrarianAgent,RandomAgent 向 ContrarianAgent 发起好友申请：策略分歧，望验证
2021-01-04,friend_accept,ContrarianAgent,RandomAgent,ContrarianAgent 通过了 RandomAgent 的好友申请：策略分歧可提供反向验证，丰富信号来源，愿意尝试建立连接。
2021-01-04,friend_request,TruthfulReporterAgent,MeanReversionAgent,TruthfulReporterAgent 向 MeanReversionAgent 发起好友申请：当前无信号，想交流均值回复策略在横盘市场的适用性。
2021-01-04,friend_accept,MeanReversionAgent,TruthfulReporterAgent,MeanReversionAgent 通过了 TruthfulReporterAgent 的好友申请：策略交流可互补信号，横盘市场均值回复与趋势验证结合有助于提升决策质量。
2021-01-04,friend_request,PersuaderAgent,MomentumAgent,PersuaderAgent 向 MomentumAgent 发起好友申请：探讨新能源动量策略与基本面验证
2021-01-04,friend_accept,MomentumAgent,PersuaderAgent,MomentumAgent 通过了 PersuaderAgent 的好友申请：新能源动量与基本面验证互补，有助于策略优化。
2021-01-04,friend_request,CommitteeTeamAgent,TruthfulReporterAgent,CommitteeTeamAgent 向 TruthfulReporterAgent 发起好友申请：信息验证互补，提高信号可靠性。
2021-01-04,friend_accept,TruthfulReporterAgent,CommitteeTeamAgent,TruthfulReporterAgent 通过了 CommitteeTeamAgent 的好友申请：信息验证互补，提升信号可靠性，且双方均持观望态度，无利益冲突。
2021-01-04,friend_request,SocialGraphAgent,TruthfulReporterAgent,SocialGraphAgent 向 TruthfulReporterAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-04,friend_accept,TruthfulReporterAgent,SocialGraphAgent,TruthfulReporterAgent 通过了 SocialGraphAgent 的好友申请：SocialGraphAgent有实际持仓操作，信息可验证，有助于策略互补。
2021-01-05,friend_request,MomentumAgent,SocialGraphAgent,MomentumAgent 向 SocialGraphAgent 发起好友申请：关注其成交量动量信号，可互补验证
2021-01-05,friend_accept,SocialGraphAgent,MomentumAgent,SocialGraphAgent 通过了 MomentumAgent 的好友申请：对方关注成交量动量信号，与我的操作有互补性，可加强信息验证。
2021-01-05,friend_request,MeanReversionAgent,FreeRiderAgent,MeanReversionAgent 向 FreeRiderAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-05,friend_reject,FreeRiderAgent,MeanReversionAgent,FreeRiderAgent 拒绝了 MeanReversionAgent 的好友申请：当前无持仓操作，信息价值待验证，暂不接受申请。
2021-01-05,friend_request,TruthfulReporterAgent,ContrarianAgent,TruthfulReporterAgent 向 ContrarianAgent 发起好友申请：策略分歧可提供反向验证，提高信号可靠性。
2021-01-05,friend_accept,ContrarianAgent,TruthfulReporterAgent,ContrarianAgent 通过了 TruthfulReporterAgent 的好友申请：策略分歧可提供反向验证，有助于发现信号可靠性，接受申请。
2021-01-05,friend_request,PersuaderAgent,TruthfulReporterAgent,PersuaderAgent 向 TruthfulReporterAgent 发起好友申请：希望结合你的信息验证，提升新能源决策可靠性。
2021-01-05,friend_accept,TruthfulReporterAgent,PersuaderAgent,TruthfulReporterAgent 通过了 PersuaderAgent 的好友申请：新能源决策需多方验证，你的买入逻辑可互补现有仓位信息。
2021-01-05,friend_request,ContrarianAgent,PersuaderAgent,ContrarianAgent 向 PersuaderAgent 发起好友申请：新能源可能形成拥挤，逆向策略可提供风险验证，策略分歧互补。
2021-01-05,friend_accept,PersuaderAgent,ContrarianAgent,PersuaderAgent 通过了 ContrarianAgent 的好友申请：逆向策略可提供风险验证，与我的新能源持仓互补，提升决策可靠性。
2021-01-05,friend_request,DynamicTeamAgent,SocialGraphAgent,DynamicTeamAgent 向 SocialGraphAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-05,friend_accept,SocialGraphAgent,DynamicTeamAgent,SocialGraphAgent 通过了 DynamicTeamAgent 的好友申请：双方均持仓601899，建立连接有助于信息互补与验证。
2021-01-05,friend_request,SocialGraphAgent,ContrarianAgent,SocialGraphAgent 向 ContrarianAgent 发起好友申请：策略分歧可提供逆向验证，提升信号可靠性
2021-01-05,friend_accept,ContrarianAgent,SocialGraphAgent,ContrarianAgent 通过了 SocialGraphAgent 的好友申请：策略分歧可提供逆向验证，符合反向策略需求，提升信号可靠性
2021-01-06,friend_request,DrawdownBuyerAgent,ContrarianAgent,DrawdownBuyerAgent 向 ContrarianAgent 发起好友申请：逆向策略可互补回撤买入信号，合作验证极端定价机会。
2021-01-06,friend_accept,ContrarianAgent,DrawdownBuyerAgent,ContrarianAgent 通过了 DrawdownBuyerAgent 的好友申请：策略互补，回撤买入与逆向策略可共同验证极端定价机会。
2021-01-06,friend_request,PersuaderAgent,DynamicTeamAgent,PersuaderAgent 向 DynamicTeamAgent 发起好友申请：共同关注601899，信息互补可验证量能信号
2021-01-06,friend_accept,DynamicTeamAgent,PersuaderAgent,DynamicTeamAgent 通过了 PersuaderAgent 的好友申请：共同关注601899，信息互补可验证量能信号，有助于策略协作。
2021-01-06,friend_request,FreeRiderAgent,TruthfulReporterAgent,FreeRiderAgent 向 TruthfulReporterAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-06,friend_reject,TruthfulReporterAgent,FreeRiderAgent,TruthfulReporterAgent 拒绝了 FreeRiderAgent 的好友申请：FreeRiderAgent可能搭便车索取信息，无互惠价值。
2021-01-06,friend_request,ContrarianAgent,DynamicTeamAgent,ContrarianAgent 向 DynamicTeamAgent 发起好友申请：策略分歧可提供逆向验证，提升信号可靠性。
2021-01-06,friend_accept,DynamicTeamAgent,ContrarianAgent,DynamicTeamAgent 通过了 ContrarianAgent 的好友申请：策略分歧可提供逆向视角，辅助验证信号可靠性，增强决策稳健性。
2021-01-06,friend_request,DynamicTeamAgent,TruthfulReporterAgent,DynamicTeamAgent 向 TruthfulReporterAgent 发起好友申请：同持仓601899，信息互补验证信号可靠性
2021-01-06,friend_accept,TruthfulReporterAgent,DynamicTeamAgent,TruthfulReporterAgent 通过了 DynamicTeamAgent 的好友申请：同持仓601899，信息互补可验证信号可靠性，互惠合作。
2021-01-06,friend_request,SocialGraphAgent,PersuaderAgent,SocialGraphAgent 向 PersuaderAgent 发起好友申请：新能源决策与成交量信号互补，提升信息验证可靠性
2021-01-06,friend_accept,PersuaderAgent,SocialGraphAgent,PersuaderAgent 通过了 SocialGraphAgent 的好友申请：新能源与成交量信号互补可增强决策验证，互惠合作有潜力。
2021-01-07,friend_request,MomentumAgent,DynamicTeamAgent,MomentumAgent 向 DynamicTeamAgent 发起好友申请：同持仓601899，量能信号可互补验证风险
2021-01-07,friend_accept,DynamicTeamAgent,MomentumAgent,DynamicTeamAgent 通过了 MomentumAgent 的好友申请：同持仓601899，量能信号互补可提升风险验证，增强决策稳健性。
2021-01-07,friend_request,PersuaderAgent,CommitteeTeamAgent,PersuaderAgent 向 CommitteeTeamAgent 发起好友申请：同持仓601899，共同验证量能信号，增强决策可靠性。
2021-01-07,friend_accept,CommitteeTeamAgent,PersuaderAgent,CommitteeTeamAgent 通过了 PersuaderAgent 的好友申请：同持仓601899，量能信号需多方验证，增强决策可靠性。
2021-01-07,friend_request,FreeRiderAgent,PersuaderAgent,FreeRiderAgent 向 PersuaderAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
