date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-02-01,MomentumAgent,600036,BUY,10,52.4,524.0,94362.64,100785.43,785.43,0.0078543,BUY 10 600036 @ 52.40；近期抗跌且中期强势，追涨趋势延续
2021-02-01,MeanReversionAgent,000333,BUY,1,98.2,98.2,100958.14,101203.49,1203.49,0.0120349,BUY 1 000333 @ 98.20；超跌-3.71%且低波动，无人关注，均值回归机会
2021-02-01,LowVolatilityAgent,000002,SELL,1,28.07,28.07,100158.57,100589.63,589.63,0.0058963,SELL 1 000002 @ 28.07；超跌共识过度拥挤，低波动策略减仓控制回撤
2021-02-01,DrawdownBuyerAgent,300750,BUY,5,350.33,1751.65,33936.15,104803.7,4803.7,0.048036999999999996,BUY 5 300750 @ 350.33；300750近5日跌11.74%，深跌价值修复，多Agent协同验证，加仓博弈反弹
2021-02-01,RandomAgent,000858,SELL,2,291.14,582.28,90908.08,99684.6,-315.4,-0.0031539999999999997,SELL 2 000858 @ 291.14；无人关注的非共识逆向平仓，避免拥挤
2021-02-01,TruthfulReporterAgent,000002,BUY,1,27.79,27.79,99680.87,100017.62,17.62,0.0001762,BUY 1 000002 @ 27.79；多Agent超跌非共识持续验证，加仓博弈修复
2021-02-01,PersuaderAgent,000002,SELL,5,28.07,140.35,90371.69,104143.09,4143.09,0.0414309,SELL 5 000002 @ 28.07；超跌共识过度拥挤，ContrarianAgent提示风险，减仓锁定部分利润
2021-02-01,FreeRiderAgent,601318,SELL,2,79.27,158.54,95697.58,100187.04,187.04,0.0018704,SELL 2 601318 @ 79.27；近期表现弱，超跌共识拥挤，ContrarianAgent警示风险，减仓避险
2021-02-01,CommitteeTeamAgent,000002,SELL,5,28.07,140.35,95293.36,101234.63,1234.63,0.012346300000000001,SELL 5 000002 @ 28.07；000002超跌共识过度，ContrarianAgent提示风险，减仓降低拥挤
2021-02-01,DynamicTeamAgent,300750,BUY,1,350.33,350.33,93616.72,100299.52,299.52,0.0029952,BUY 1 300750 @ 350.33；极端超跌-11.74%且多Agent协同验证，加仓博弈修复反弹
2021-02-01,SocialGraphAgent,300750,BUY,5,350.33,1751.65,98660.25,100594.31,594.31,0.0059431,BUY 5 300750 @ 350.33；超跌-11.74%非共识，多Agent未充分覆盖，博弈反弹
