date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-03-18,MomentumAgent,600036,BUY,10,54.24,542.4,58651.18,95400.82,-4599.18,-0.045991800000000006,BUY 10 600036 @ 54.24；近5日涨幅4.37%，趋势强劲，追加仓位。
2021-03-18,MeanReversionAgent,002415,BUY,10,54.46,544.6,6330.05,96316.15,-3683.85,-0.036838499999999996,BUY 10 002415 @ 54.46；拥挤抛售过度，均值回归机会
2021-03-18,LowVolatilityAgent,000333,BUY,10,86.71,867.1,88711.53,100426.63,426.63,0.0042663,BUY 10 000333 @ 86.71；低波动防御，分散持仓，000333近5日稳定且回撤可控
2021-03-18,DrawdownBuyerAgent,002594,BUY,2,178.55,357.1,25.31,88091.55,-11908.45,-0.11908450000000001,BUY 2 002594 @ 178.55；深度回撤-31%，均值回归逻辑，小仓位加仓等待修复
2021-03-18,RandomAgent,002415,SELL,5,54.46,272.3,54571.45,96872.85,-3127.15,-0.0312715,SELL 5 002415 @ 54.46；部分止盈逆向仓位，拥挤风险未消
2021-03-18,PersuaderAgent,002594,BUY,5,178.55,892.75,91082.45,107465.5,7465.5,0.074655,BUY 5 002594 @ 178.55；协同深跌买入，均值回归逻辑，DrawdownBuyerAgent已换仓，增加仓位。
2021-03-18,FreeRiderAgent,002415,SELL,5,53.5,267.5,79899.6,99868.7,-131.3,-0.0013130000000000001,SELL 5 002415 @ 53.50；拥挤风险释放不均，多Agent卖出共识，减仓避险。
2021-03-18,ContrarianAgent,002415,BUY,5,53.5,267.5,84087.78,100732.83,732.83,0.0073283,BUY 5 002415 @ 53.50；拥挤抛售过度，逆向加仓等待均值回归
2021-03-18,CommitteeTeamAgent,002415,SELL,10,54.46,544.6,92152.3,101387.1,1387.1,0.013871,SELL 10 002415 @ 54.46；拥挤风险持续，多Agent共识卖出，减仓控制风险
2021-03-18,DynamicTeamAgent,600036,BUY,10,54.24,542.4,91637.93,99010.93,-989.07,-0.0098907,BUY 10 600036 @ 54.24；协同低波动防御策略，跟随PersuaderAgent买入
2021-03-18,SocialGraphAgent,600036,BUY,10,53.4,534.0,91689.69,99490.49,-509.51,-0.0050951,BUY 10 600036 @ 53.40；低波动防御，协同PersuaderAgent和FreeRiderAgent策略，现金充裕增持稳健标的
