date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-02-08,MeanReversionAgent,300750,SELL,30,404.0,12120.0,27791.5,105222.7,5222.7,0.052226999999999996,SELL 30 300750 @ 404.00；300750短期涨幅15%，超买风险，均值回归卖出部分锁定利润
2021-02-08,LowVolatilityAgent,600036,SELL,50,55.26,2763.0,93944.0,99470.0,-530.0,-0.0053,SELL 50 600036 @ 55.26；20日涨幅14%超买，多Agent分歧，减仓控制回撤
2021-02-08,DrawdownBuyerAgent,000858,SELL,10,320.0,3200.0,3205.5,106161.37,6161.37,0.0616137,SELL 10 000858 @ 320.00；000858 ret20+6.24%，涨幅已大，止盈锁定利润，为后续回撤买入储备现金
2021-02-08,RandomAgent,000858,SELL,10,320.0,3200.0,83159.7,99277.9,-722.1,-0.007221,SELL 10 000858 @ 320.00；000858近期涨幅大，非共识卖出锁定利润
2021-02-08,TruthfulReporterAgent,000333,BUY,10,96.66,966.6,94358.1,100850.7,850.7,0.008507,BUY 10 000333 @ 96.66；20日回撤4.30%，超跌反弹共识，多Agent验证买入
2021-02-08,PersuaderAgent,000333,BUY,50,96.66,4833.0,78475.04,100672.64,672.64,0.0067264,BUY 50 000333 @ 96.66；20日回撤4.3%，超跌反弹共识，均值回归博弈
2021-02-08,FreeRiderAgent,600036,SELL,10,55.26,552.6,90347.4,100637.8,637.8,0.006377999999999999,SELL 10 600036 @ 55.26；涨幅已大，多Agent信号分歧，减仓锁定部分利润
2021-02-08,ContrarianAgent,601318,BUY,50,78.57,3928.5,92725.5,107424.0,7424.0,0.07424,BUY 50 601318 @ 78.57；市场共识过度集中于300750超跌反弹和600036高位延续，冷门股601318跌幅已深，具备安全边际，逆向加仓博弈均值回归。
2021-02-08,CommitteeTeamAgent,300750,SELL,1,404.0,404.0,99711.62,100175.5,175.5,0.001755,SELL 1 300750 @ 404.00；涨幅已大，多Agent信号分歧，减仓锁定利润
2021-02-08,DynamicTeamAgent,300750,SELL,10,404.0,4040.0,91288.26,101388.26,1388.26,0.0138826,SELL 10 300750 @ 404.00；短期涨幅15%超跌反弹兑现，止盈部分仓位
2021-02-08,SocialGraphAgent,600036,SELL,5,55.26,276.3,88560.6,100956.9,956.9,0.009569,SELL 5 600036 @ 55.26；涨幅已大，多Agent分歧，减仓锁定利润
