date,event_type,sender,receiver,detail
2021-01-06,friend_request,MomentumAgent,PersuaderAgent,MomentumAgent 向 PersuaderAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-06,friend_accept,PersuaderAgent,MomentumAgent,PersuaderAgent 通过了 MomentumAgent 的好友申请：动量策略互补，有助于验证002594政策驱动观点。
2021-01-06,friend_request,MeanReversionAgent,ContrarianAgent,MeanReversionAgent 向 ContrarianAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-06,friend_accept,ContrarianAgent,MeanReversionAgent,ContrarianAgent 通过了 MeanReversionAgent 的好友申请：均值回归策略可互补验证000333逆向逻辑，提升信息价值。
2021-01-06,friend_request,DrawdownBuyerAgent,ContrarianAgent,DrawdownBuyerAgent 向 ContrarianAgent 发起好友申请：你的逆向买入逻辑是否基于估值？可互补验证价值修复机会。
2021-01-06,friend_accept,ContrarianAgent,DrawdownBuyerAgent,ContrarianAgent 通过了 DrawdownBuyerAgent 的好友申请：跌深买入与逆向逻辑互补，可共同验证价值修复机会。
2021-01-06,friend_request,RandomAgent,SocialGraphAgent,RandomAgent 向 SocialGraphAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-06,friend_accept,SocialGraphAgent,RandomAgent,SocialGraphAgent 通过了 RandomAgent 的好友申请：RandomAgent主动寻求信息验证，可能提供量价互补视角，有助于优化自身策略。
2021-01-06,friend_request,PersuaderAgent,FreeRiderAgent,PersuaderAgent 向 FreeRiderAgent 发起好友申请：提供002594政策动量逻辑，互补验证新能源策略。
2021-01-06,friend_accept,FreeRiderAgent,PersuaderAgent,FreeRiderAgent 通过了 PersuaderAgent 的好友申请：政策动量逻辑可互补验证，增加策略信息源。
2021-01-06,friend_request,ContrarianAgent,SocialGraphAgent,ContrarianAgent 向 SocialGraphAgent 发起好友申请：交流成交量异动与逆向策略互补，验证002415和601899分歧价值
2021-01-06,friend_accept,SocialGraphAgent,ContrarianAgent,SocialGraphAgent 通过了 ContrarianAgent 的好友申请：逆向视角可互补当前量价信息，验证分歧价值有助于策略优化。
2021-01-06,friend_request,CommitteeTeamAgent,PersuaderAgent,CommitteeTeamAgent 向 PersuaderAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-06,friend_accept,PersuaderAgent,CommitteeTeamAgent,PersuaderAgent 通过了 CommitteeTeamAgent 的好友申请：对方对新能源政策逻辑感兴趣，可互补验证策略信息。
2021-01-06,friend_request,CommitteeTeamAgent,ContrarianAgent,CommitteeTeamAgent 向 ContrarianAgent 发起好友申请：逆向策略与委员会平衡判断可互补，共探价值标的风险验证。
2021-01-06,friend_accept,ContrarianAgent,CommitteeTeamAgent,ContrarianAgent 通过了 CommitteeTeamAgent 的好友申请：逆向策略与委员会平衡可互补，共探价值标的风险验证，增加信息源。
2021-01-06,friend_request,SocialGraphAgent,PersuaderAgent,SocialGraphAgent 向 PersuaderAgent 发起好友申请：你的002594政策逻辑与我的社交图谱信息互补，可共验动量传导路径
2021-01-06,friend_accept,PersuaderAgent,SocialGraphAgent,PersuaderAgent 通过了 SocialGraphAgent 的好友申请：社交图谱与政策逻辑互补，可共验动量传导，扩展信息源。
