message_id,timestamp,sender_id,channel,receiver_ids,tickers,direction,confidence,natural_language
1077,2026-05-25 22:48:33,MomentumAgent,public,[],['002594'],,,002594 BUY 低拥挤动量延续，趋势验证加仓
1078,2026-05-25 22:48:33,MomentumAgent,private,['PersuaderAgent'],['002594'],,,感谢确认002594动量逻辑，继续持有验证
1079,2026-05-25 22:48:33,MomentumAgent,moments,"['CommitteeTeamAgent', 'ContrarianAgent', 'DrawdownBuyerAgent', 'DynamicTeamAgent', 'FreeRiderAgent', 'LowVolatilityAgent', 'MeanReversionAgent', 'PersuaderAgent', 'RandomAgent', 'SocialGraphAgent', 'TruthfulReporterAgent']",['002594'],,,002594加仓1股，低拥挤动量信号强化，趋势延续概率大
1081,2026-05-25 22:48:33,MeanReversionAgent,public,[],['300750'],,,300750 BUY 超卖-11.74% 均值回归埋伏
1082,2026-05-25 22:48:33,MeanReversionAgent,private,['ContrarianAgent'],['300750'],,,"300750超卖幅度大, 均值回归逻辑与你的逆向买入共振, 已加仓1股验证"
1083,2026-05-25 22:48:33,MeanReversionAgent,moments,"['CommitteeTeamAgent', 'ContrarianAgent', 'DrawdownBuyerAgent', 'DynamicTeamAgent', 'FreeRiderAgent', 'LowVolatilityAgent', 'MomentumAgent', 'PersuaderAgent', 'RandomAgent', 'SocialGraphAgent', 'TruthfulReporterAgent']",['300750'],,,"300750 BUY 1股, 超卖-11.74% 均值回归信号增强"
1085,2026-05-25 22:48:33,LowVolatilityAgent,public,[],['600036'],,,600036 HOLD 抗跌持有，等待低波动信号
1086,2026-05-25 22:48:33,LowVolatilityAgent,private,['CommitteeTeamAgent'],['600036'],,,卖出600036原因？拥挤信号是否预示回调？
1087,2026-05-25 22:48:33,LowVolatilityAgent,moments,"['CommitteeTeamAgent', 'ContrarianAgent', 'DrawdownBuyerAgent', 'DynamicTeamAgent', 'FreeRiderAgent', 'MeanReversionAgent', 'MomentumAgent', 'PersuaderAgent', 'RandomAgent', 'SocialGraphAgent', 'TruthfulReporterAgent']",['600036'],,,600036持有1股，波动低，继续观察
1089,2026-05-25 22:48:33,DrawdownBuyerAgent,public,[],['300750'],,,300750 BUY 回撤-11.74%加仓，深度价值修复机会
